title,release_date,genres,overview,spoken_languages,max_pre_release,max_post_release,auc_pre_release,slope_7_days_pre_release,release_day_interest,stddev_interest_pre_release,trend_skew,peak_trend_day_position,auc_post_peak,auc_post_release,trends_slope_post_peak,trends_day_7_value
Ant-Man and the Wasp: Quantumania,2023-02-15,"Action, Adventure, Science Fiction","Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",English,29.0,100.0,205.5,2.0357142857142856,48.0,5.875503548642736,1.7898881133505808,2.0,680.0,826.0,-13.999999999999998,32.0
Heroic,2023-09-21,"Drama, Thriller","Luis, an 18-year-old boy with Indigenous roots, enters the Heroic Military College in hopes of ensuring a better future. There, he encounters a rigid and institutionally violent system designed to turn him into a perfect soldier.",Spanish,89.0,100.0,1560.5,1.2857142857142854,88.0,5.032321833761107,0.3963552051557173,14.0,555.5,1737.5,-1.3571428571428568,83.0
Kingdom 3: The Flame of Fate,2023-07-28,"Action, Adventure, War","It follows Li Xin and Wang Qi as they stand on the battlefield for the first time to fight off an invasion by Zhao, and it also follows Ying Zheng's unknown past.",Japanese,100.0,60.0,378.0,6.499999999999997,56.0,32.325162022381924,1.2658282929284217,-5.0,667.0,335.0,-3.928571428571427,34.0
Hidden Strike,2023-07-06,"Action, Adventure, Thriller, Comedy",Two elite soldiers must escort civilians through a gauntlet of gunfire and explosions.,"Mandarin, Spanish, English, Portuguese",46.0,100.0,513.0,2.3571428571428563,72.0,6.316303635036659,0.42472745707841647,10.0,856.5,1533.5,2.7499999999999996,71.0
Creed III,2023-03-01,"Drama, Action","After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter with nothing to lose.","English, Spanish",21.0,100.0,179.5,1.9642857142857137,32.0,4.803626747778473,0.9932025828668117,3.0,860.5,1063.5,-9.14285714285714,47.0
Home for Rent,2023-04-06,"Horror, Thriller, Mystery","A film inspired by terrifying true events. When the tenants are members of a dark cult, they terrorize the homeowner, looking for their next prey to sacrifice.",Thai,94.0,100.0,1708.5,0.8928571428571428,89.0,4.7423407636279515,0.7590354393297233,11.0,867.0,1836.5,-1.4642857142857142,86.0
The Exorcist: Believer,2023-10-04,Horror,"Since the death of his wife 12 years ago, Victor Fielding has raised their daughter, Angela on his own. But when Angela and her friend Katherine disappear in the woods, only to return three days later with no memory of what happened to them, it unleashes a chain of events that will force Victor to confront the nadir of evil and, in his terror and desperation, seek out the only person alive who has witnessed anything like it before: Chris MacNeil.","English, Portuguese",20.0,100.0,185.5,2.178571428571428,38.0,4.488837250775036,1.9095838739348283,3.0,569.0,765.0,-10.464285714285714,33.0
War of the Worlds: The Attack,2023-04-21,"Science Fiction, Mystery, Thriller",Three young astronomers fight to survive a deadly Martian invasion.,English,73.0,100.0,292.5,2.9999999999999996,71.0,24.940837024324644,0.6712713304901206,2.0,600.0,756.5,-0.9285714285714279,71.0
Sisu,2023-01-27,"Action, War","Deep in the wilderness of Lapland, Aatami Korpi is searching for gold but after he stumbles upon Nazi patrol, a breathtaking and gold-hungry chase through the destroyed and mined Lapland wilderness begins.","English, Finnish",4.0,100.0,57.5,0.21428571428571422,4.0,0.5259695722470125,3.3906795564090664,20.0,92.0,351.0,-15.999999999999996,4.0
Shin Kamen Rider,2023-03-17,"Action, Drama, Science Fiction","A man forced to bear power and stripped of humanity. A woman skeptical of happiness. Takeshi Hongo, an Augmentation made by SHOCKER, and Ruriko Midorikawa, a rebel of the organization, escape while fighting off assassins. What’s justice? What’s evil? Will this violence end? Despite his power, Hongo tries to remain human. Along with freedom, Ruriko has regained a heart. What paths will they choose?",Japanese,17.0,100.0,127.5,0.6785714285714285,33.0,3.8726905926376114,0.9635652521503816,8.0,670.5,1010.0,-6.678571428571429,78.0
Killer Book Club,2023-08-25,"Horror, Thriller","Eight horror-loving friends fight for their lives when a killer clown who seems to know the grim secret they share begins to pick them off, one by one.","Latin, Spanish",2.0,100.0,3.0,0.28571428571428564,52.0,0.4994327848429293,2.208325307780358,1.0,514.5,590.5,-13.392857142857139,25.0
The Swan,2023-09-28,Comedy,"Two large, ignorant bullies ruthlessly pursue a small, brilliant boy in this young adult Roald Dahl short story.",English,49.0,100.0,813.0,0.2857142857142856,60.0,3.592004222027831,2.5859978508713777,2.0,933.0,1089.0,-8.678571428571429,48.0
El hombre del saco,2023-08-11,"Horror, Adventure","Explores the Spanish origins of the character's story, where he is a tuberculosis patient from Almeria who will do anything to get well, even consuming the blood of the kids he kidnaps in a sack.",Spanish,32.0,67.0,166.0,2.357142857142857,100.0,10.642830510246853,1.506898485255764,0.0,692.5,692.5,-9.214285714285715,32.0
La Leyenda de los Chaneques,2023-07-14,"Animation, Comedy, Family, Horror","Five years after giving up his powers and separating from his friends, Leo San Juan has started a new life trying to focus on his family and their bakery, staying away from danger and adventures. However, Leo knows that his plans are rarely fulfilled and this time is no exception: while traveling with Nando to Veracruz, things start to get weird, and from the depths of the Tuxtlas jungle, an ancient curse has returned and only Leo can face it.",Spanish,14.0,100.0,83.0,-0.0714285714285714,28.0,3.676239822022626,2.1971784826051897,1.0,562.0,626.0,-11.964285714285712,29.0
Babylon 5: The Road Home,2023-08-15,"Animation, Science Fiction, Action, Adventure","Travel across the galaxy with John Sheridan as he unexpectedly finds himself transported through multiple timelines and alternate realities in a quest to find his way back home. Along the way he reunites with some familiar faces, while discovering cosmic new revelations about the history, purpose, and meaning of the Universe.",English,31.0,86.0,180.5,2.3928571428571423,100.0,11.501158376047593,1.5190405788224695,0.0,651.0,651.0,-8.82142857142857,28.0
Zom 100: Bucket List of the Dead,2023-08-03,"Comedy, Horror, Action","Bullied by his boss, worked around the clock, he's nothing more than a corporate drone. All it takes is a zombie outbreak for him to finally feel alive!",Japanese,88.0,100.0,944.5,2.428571428571428,88.0,17.96633283801284,0.8162608153042675,1.0,1006.5,1100.5,-10.57142857142857,43.0
97 Minutes,2023-06-09,"Thriller, Action","A hijacked 767 will crash in just 97 minutes when its fuel runs out. Against the strong will of NSA Deputy Toyin, NSA Director Hawkins prepares to have the plane shot down before it does any catastrophic damage on the ground, leaving the fate of the innocent passengers in the hands of Tyler, one of the alleged hijackers on board who is an undercover Interpol agent - or is he?",English,3.0,100.0,8.0,0.32142857142857134,47.0,0.9499970163457144,2.5682324530417975,1.0,457.5,531.0,-14.32142857142857,18.0
Hypnotic,2023-05-11,"Mystery, Thriller, Science Fiction",A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.,English,24.0,100.0,365.0,1.0,32.0,2.2956134844178955,2.143483882445871,20.0,90.5,854.5,-18.99999999999999,31.0
Alien Invasion,2023-05-11,"Science Fiction, Horror","A group of friends find a large egg, but little do they know it contains an unwelcome predator. Now they must stop it from reaching civilization.",English,84.0,100.0,1399.0,-0.3214285714285713,70.0,7.201977556589827,0.7366193458925806,1.0,1516.5,1601.5,-6.107142857142855,72.0
Reptile,2023-09-29,"Thriller, Crime, Drama, Mystery","Following the brutal murder of a young real estate agent, a hardened detective attempts to uncover the truth in a case where nothing is as it seems, and by doing so dismantles the illusions in his own life.",English,10.0,100.0,140.5,-0.17857142857142855,46.0,1.1126972805283737,1.8606490218863496,2.0,635.5,807.5,-7.607142857142854,32.0
A Haunting in Venice,2023-09-13,"Mystery, Thriller, Crime","Celebrated sleuth Hercule Poirot, now retired and living in self-imposed exile in Venice, reluctantly attends a Halloween séance at a decaying, haunted palazzo. When one of the guests is murdered, the detective is thrust into a sinister world of shadows and secrets.","English, Italian",27.0,100.0,242.0,2.5357142857142856,38.0,6.143779923307129,1.6506188740382797,3.0,666.5,868.5,-10.357142857142854,35.0
Street Flow 2,2023-09-27,Drama,"Struggling to overcome cycles of betrayal, revenge and violence, the Traoré brothers continue to fight for a brighter future in a seedy Paris suburb.",French,0.0,100.0,0.0,0.0,60.0,0.0,2.0011478907764326,1.0,445.0,525.0,-11.249999999999995,31.0
The Retirement Plan,2023-08-24,"Comedy, Action","When Ashley and her young daughter Sarah get caught up in a criminal enterprise that puts their lives at risk, she turns to the only person who can help: her estranged father Matt, currently living the life of a retired beach bum in the Cayman Islands. Their reunion is fleeting as they are soon tracked down on the island by crime boss Donnie and his lieutenant Bobo. As Ashley, Sarah, and Matt become entangled in an increasingly dangerous web, Ashley quickly learns her father had a secret past that she knew nothing about and that there is more to her father than meets the eye.",English,95.0,100.0,608.5,1.8928571428571423,32.0,17.640913073278178,2.657673922667725,21.0,0.0,684.0,0.0,26.0
River Wild,2023-08-01,"Mystery, Thriller, Adventure",Follows a pair of siblings who love but distrust each other as they embark on a white-water rafting trip with a small group. One of their friends from childhood turns out to be more dangerous than he appears.,English,11.0,100.0,120.5,0.28571428571428564,14.0,1.3801311186847085,1.38920987420855,5.0,640.5,872.5,-8.464285714285712,55.0
Love Is in the Air,2023-09-28,"Romance, Comedy, Drama",A fiercely independent pilot fighting to keep her family business afloat starts to fall for the man sent by corporate to ground her operation forever.,English,19.0,100.0,310.5,0.17857142857142852,58.0,1.3299276232160895,2.1575727634287154,2.0,662.5,828.5,-11.999999999999996,34.0
Shazam! Fury of the Gods,2023-03-15,"Comedy, Action, Fantasy","Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",,19.0,100.0,146.0,1.4642857142857142,42.0,4.457407399556786,1.9178414870751705,3.0,506.0,732.0,-12.428571428571425,35.0
Forgotten Love,2023-09-27,"Drama, Romance",A once-respected surgeon who's lost his family and his memory gets a chance at redemption when he reconnects with someone from his forgotten past.,Polish,4.0,100.0,49.0,-0.32142857142857134,31.0,1.3299276232160895,0.6793060427678927,4.0,860.0,1143.5,-4.321428571428569,62.0
Nowhere,2023-09-29,"Thriller, Drama","A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.",Spanish,8.0,100.0,140.5,0.07142857142857141,33.0,0.4856209060564557,1.1756853562165637,2.0,809.5,958.0,-5.535714285714285,56.0
Perpetrator,2023-09-14,Horror,"Jonny Baptiste is a reckless teen sent to live with her estranged Aunt Hildie. On the event of her eighteenth birthday, she experiences a radical metamorphosis: a family spell that redefines her called Forevering. When several teen girls go missing at her new school, a mythically feral Jonny goes after the Perpetrator.",English,100.0,62.0,1214.0,-0.14285714285714288,57.0,18.89642373392311,1.4212812335414964,-13.0,1998.5,1093.0,-5.82142857142857,57.0
My First Barbie: Happy DreamDay,2023-02-13,"Family, Animation","Sing along with Barbie, Barbie, Teresa, and Renee in this musical adventure as they plan the biggest surprise birthday party ever for Barbie’s sister, Chelsea.",,100.0,0.0,100.0,0.0,0.0,21.295885499998,6.326437348445775,-8.0,50.0,0.0,-10.714285714285714,0.0
The Mount 2,2023-05-12,Horror,"A year after the incident at the Mount, the police are still investigating the murders of Philomena and Caroline. The Mount has been cordoned off by the police. However, on Halloween night, a group of teenagers break in. They plan on holding a wedding between friends, conducted by a rather odd character, however, little did they know some unexpected guests would show up to crash the party.",English,72.0,100.0,1114.5,2.1071428571428568,59.0,7.953949089757175,0.653523883528001,5.0,1159.0,1496.5,-4.785714285714285,77.0
The Monkey King,2023-08-11,"Animation, Fantasy, Adventure, Family, Comedy","A stick-wielding monkey teams with a young girl on an epic quest for immortality, battling demons, dragons, gods — and his own ego — along the way.","Mandarin, English",9.0,100.0,122.5,-0.03571428571428572,5.0,1.191428190780648,1.55829459577771,9.0,553.5,815.0,-7.607142857142854,66.0
Fist of the Condor,2023-04-04,Action,"Upon the empire’s fall to invading conquistadors, the 16th-century Incas quickly concealed a sacred manual containing the secrets behind their deadly fighting technique. But after centuries of careful safeguarding, the manual is again at risk of falling into the wrong hands, leaving its rightful guardian to battle the world’s greatest assassins to protect the ancient secrets within.",Spanish,100.0,76.0,98.0,14.14285714285714,68.0,23.156766347320584,1.6615416287630058,-1.0,504.0,420.0,-4.392857142857143,0.0
Dungeons & Dragons: Honor Among Thieves,2023-03-23,"Adventure, Fantasy, Comedy","A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",English,15.0,100.0,140.0,0.6428571428571429,13.0,4.859943170351647,0.9856431806501073,9.0,691.0,1036.5,-6.535714285714284,53.0
Ghosted,2023-04-18,"Action, Comedy, Romance","Salt-of-the-earth Cole falls head over heels for enigmatic Sadie — but then makes the shocking discovery that she’s a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.","English, Urdu",6.0,100.0,75.0,0.28571428571428564,6.0,0.8676603408708856,1.7502141182534197,4.0,645.5,779.5,-12.035714285714285,43.0
Muzzle,2023-09-29,"Action, Crime, Drama, Thriller","LAPD K-9 officer Jake Rosser has just witnessed the shocking murder of his dedicated partner by a mysterious assailant. As he investigates the shooter’s identity, he uncovers a vast conspiracy that has a chokehold on the city in this thrilling journey through the tangled streets of Los Angeles and the corrupt bureaucracy of the LAPD.",English,73.0,100.0,1174.0,-0.7142857142857141,63.0,5.233764443441556,0.794696484222218,3.0,1418.0,1658.5,-1.0357142857142851,82.0
