title,release_date,genres,overview,spoken_languages,max_pre_release,max_post_release,auc_pre_release,slope_7_days_pre_release,release_day_interest,stddev_interest_pre_release,trend_skew,peak_trend_day_position,auc_post_peak,auc_post_release,trends_slope_post_peak,trends_day_7_value
Medusa's Venom,2023-02-14,Horror,"The beast is back and her venom is deadlier than ever. When newcomer Lola is welcomed into Medusa's circle, she endures a ritual to bring her closer to her new sisters.",English,,,,,,,,,,,,
Five Nights at Freddy's,2023-10-25,"Horror, Thriller","Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",English,21.0,100.0,214.5,1.8928571428571428,32.0,4.4645238031749415,1.561820828458203,3.0,675.0,880.0,-8.999999999999996,46.0
Love at First Sight,2023-09-15,"Romance, Drama","Hadley and Oliver begin falling in love on a flight from New York to London, but when they lose each other at customs, can they defy all odds to reunite?",English,6.0,100.0,67.5,0.46428571428571425,50.0,0.8491692619108099,1.8677252575998278,1.0,638.5,713.5,-11.107142857142854,36.0
Black Clover: Sword of the Wizard King,2023-06-16,"Animation, Fantasy, Action, Adventure","As a lionhearted boy who can’t wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.",Japanese,13.0,91.0,42.0,1.2499999999999996,100.0,2.494438257849294,3.5744826841735327,0.0,330.5,330.5,-15.999999999999995,10.0
Fear the Night,2023-07-21,"Action, Thriller","During a bachelorette party in a secluded California farmhouse, masked intruders launch a brutal attack, forcing eight women to fight for survival. Led by Tess, a troubled military veteran, they unite to defend themselves throughout a harrowing night.",English,6.0,100.0,82.0,0.25,9.0,0.8883218145798872,1.7634762267165678,5.0,505.5,753.0,-9.464285714285714,41.0
How to Deal with a Heartbreak,2023-07-06,Comedy,"María Fe, still single but not so sought after, faces the existential crisis and the blank page as any mature and sensible woman would: by getting involved with the wrong guy.",Spanish,,,,,,,,,,,,
Rotting in the Sun,2023-09-08,Comedy,"A filmmaker facing an existential crisis goes on a vacation to a Mexican gay nudist beach, where he meets a social media celebrity who convinces him to collaborate with him on his new TV show.","English, Spanish",55.0,100.0,267.0,1.0714285714285714,24.0,10.732999530027223,1.039470928749999,9.0,613.0,996.0,-5.071428571428571,79.0
"Ice Cold: Murder, Coffee and Jessica Wongso",2023-09-28,"Documentary, Crime","This documentary delves into the unanswered questions surrounding the trial of Jessica Wongso — years after the death of her best friend, Mirna Salihin.","English, Indonesian",,,,,,,,,,,,
The Rat Catcher,2023-09-29,Comedy,"In an English village, a reporter and a mechanic listen to a ratcatcher explain his clever plan to outwit his prey.",English,0.0,100.0,0.0,0.0,37.0,0.0,2.852355757505507,2.0,336.5,504.0,-9.499999999999998,27.0
The Darkness Within La Luz del Mundo,2023-09-28,"Documentary, Crime","For the first time, complainants against La Luz del Mundo megachurch leaders expose the abuses they suffered through exclusive interviews.","English, Spanish",0.0,100.0,0.0,0.0,63.0,0.0,3.6765123828269632,1.0,117.0,198.5,-10.714285714285714,0.0
